Portfolio Manager Meter ID,Meter Name,Meter Type,Units
31548254,EL1,Electric - Grid,kWh (thousand Watt-hours)
49324439,EL2,Electric - Grid,kWh (thousand Watt-hours)
49327760,EL3,Electric - Grid,kWh (thousand Watt-hours)
49324969,EL4,Electric - Grid,kWh (thousand Watt-hours)
49325200,EL5,Electric - Grid,kWh (thousand Watt-hours)
97503345,EL6,Electric - Grid,kWh (thousand Watt-hours)
31548250,NG1,Natural Gas,therms
31548249,NG2,Natural Gas,therms
31548251,NG3,Natural Gas,therms
49324175,NG4,Natural Gas,therms
49324216,NG5,Natural Gas,therms
49324348,NG6,Natural Gas,therms
49324390,NG7,Natural Gas,therms
81413017,NG8,Natural Gas,therms
49324753,NG9,Natural Gas,therms
49325021,NG10,Natural Gas,therms
49325117,NG11,Natural Gas,therms
49325377,NG12,Natural Gas,therms
49440466,NG13,Natural Gas,ccf (hundred cubic feet)
49450360,NG14,Natural Gas,ccf (hundred cubic feet)
49327857,NG15,Natural Gas,therms
31548252,NG16,Natural Gas,therms